ID_Karyawan,Nama,NIK,Tanggal_Lahir,Alamat,Departemen,Jabatan,Gaji,Email,No_HP,Tanggal_Masuk,Status_Kerja,Atasan
EMP2026,Wardi Maheswara,8083148950091682,1996-03-31,"Gang Gedebage Selatan No. 95, Meulaboh, Papua 47506",HRD,Staff,24451731,anggrainibanawa@perum.edu,+62-081-321-5532,2018-03-14,Magang,Balidin Suwarno
EMP2027,Hasna Handayani,6106883280848448,1971-05-22,"Jl. M.T Haryono No. 51, Padang, SB 60614",HRD,Direktur,22356375,bahuwiryalazuardi@gmail.com,(041) 028 1466,2025-01-07,Tetap,Raina Gunawan
EMP2028,Samiah Gunarto,5599245650854637,1988-10-26,"Gang Veteran No. 2, Tasikmalaya, DKI Jakarta 36516",HRD,Supervisor,10041495,ssihombing@hotmail.com,(018) 840-0517,2019-10-25,Tetap,"Rachel Yuliarti, S.Farm"
EMP2029,Novi Wasita,5896150298546976,2003-07-14,"Jl. Cikapayang No. 2, Cirebon, KS 00953",IT,Supervisor,21569187,rachel91@cv.sch.id,+62-071-205-7165,2017-12-07,Tetap,Bakda Haryanti
EMP2030,Pangeran Padmasari,9918009349926758,1992-11-08,"Jalan Indragiri No. 11, Pematangsiantar, Sulawesi Tenggara 96967",HRD,Supervisor,4501157,bahuwirya25@cv.id,(062) 784 9186,2025-03-15,Tetap,Balijan Anggraini
EMP2031,Titi Yuniar,5541764428427574,1987-07-07,"Gang Cihampelas No. 0, Tarakan, Maluku Utara 59426",Pemasaran,Manager,24901715,andrianiharsanto@ud.web.id,+62 (0006) 037-7388,2023-08-04,Kontrak,Dartono Pradipta
EMP2032,Oliva Napitupulu,7944584631936191,1996-08-28,"Gg. Jayawijaya No. 4, Cimahi, Sulawesi Tenggara 32909",Produksi,Manager,15002109,nainggolantaswir@perum.net.id,+62-811-280-8123,2021-10-05,Tetap,Bella Yuliarti
EMP2033,Hani Wibowo,6237308365940423,1990-12-02,"Jl. Jayawijaya No. 818, Gorontalo, SR 62870",HRD,Direktur,9946594,pradanajaswadi@gmail.com,+62 (05) 020 9524,2021-02-20,Magang,Puti Irma Andriani
EMP2034,Amelia Pudjiastuti,6298730363224413,1985-05-10,"Gg. Monginsidi No. 5, Purwokerto, Sumatera Selatan 80409",IT,Direktur,15310552,jaimanyulianti@perum.or.id,+62 (927) 752 9167,2016-03-29,Magang,Nabila Padmasari
EMP2035,Balijan Pudjiastuti,8642944738581955,2005-07-28,"Gg. Soekarno Hatta No. 5, Bitung, LA 97477",IT,Staff,15471761,emas25@cv.or.id,(0747) 002-0246,2022-05-31,Tetap,Dr. Cinthia Hutapea
EMP2036,"Vanya Siregar, S.I.Kom",8545717502887023,1995-05-29,"Jl. BKR No. 7, Mataram, LA 28077",HRD,Staff,23576703,rajasajumari@cv.desa.id,+62 (016) 216-5120,2020-02-21,Magang,Tgk. Pangestu Safitri
EMP2037,Murti Saptono,8311981824854531,1965-08-03,"Gang Veteran No. 45, Pariaman, Gorontalo 89186",Produksi,Direktur,6904941,anapitupulu@hotmail.com,+62 (78) 432-4359,2021-05-29,Tetap,Uda Prasetyo
EMP2038,Bakiman Napitupulu,7713532851537421,1994-01-07,"Gg. Ciwastra No. 14, Kota Administrasi Jakarta Pusat, Bengkulu 10463",HRD,Manager,11983441,uandriani@hotmail.com,(0935) 915-0977,2025-06-20,Tetap,"Kasiran Handayani, S.Ked"
EMP2039,Gada Simbolon,7899816987267626,1993-05-21,"Jl. Jakarta No. 7, Kediri, JT 16574",IT,Supervisor,9320385,lestarijagapati@perum.sch.id,+62 (52) 478-3801,2021-01-05,Magang,"H. Emong Prabowo, S.E."
EMP2040,"Dr. Rahayu Suwarno, S.Farm",6230862016413686,1989-04-23,"Gg. Pasirkoja No. 422, Kendari, BT 11979",Keuangan,Direktur,22877237,rahayugada@yahoo.com,+62-084-091-1948,2020-12-26,Tetap,Eva Jailani
EMP2041,Kamidin Melani,6270208006153835,1974-12-27,"Jalan Rajawali Timur No. 23, Kota Administrasi Jakarta Barat, Sulawesi Barat 18261",Pemasaran,Staff,17364386,ekamandasari@gmail.com,+62 (551) 031-0451,2024-05-09,Magang,"Bagas Uwais, S.Ked"
EMP2042,Bambang Puspita,5995420204040587,1996-04-12,"Gg. M.T Haryono No. 03, Pontianak, Sulawesi Selatan 19617",IT,Manager,19134415,ichasinaga@pd.ponpes.id,+62-609-119-9083,2024-02-15,Kontrak,Chandra Winarno
EMP2043,R.M. Yosef Rahimah,8764938767184502,1966-10-08,"Gg. Pacuan Kuda No. 196, Bau-Bau, Sulawesi Barat 60923",HRD,Direktur,13749436,edi26@ud.com,+62-712-841-5236,2024-03-02,Tetap,Jumari Lailasari
EMP2044,Darmanto Pertiwi,4228958138104058,1984-08-13,"Jl. Jakarta No. 54, Kota Administrasi Jakarta Selatan, SR 88659",Pemasaran,Direktur,21395683,karmanprayoga@pd.or.id,(0109) 665-3115,2021-10-29,Kontrak,"Baktiono Nasyidah, S.E."
EMP2045,"R. Timbul Sihotang, M.TI.",2246060181969013,1974-07-18,"Jalan Dr. Djunjunan No. 400, Pontianak, DKI Jakarta 58300",HRD,Manager,9333152,carub38@ud.mil,(010) 620 8402,2023-12-22,Magang,Pandu Prastuti
EMP2046,Winda Kusmawati,2368424769002713,1977-12-09,"Gg. Sukajadi No. 69, Balikpapan, GO 89262",HRD,Direktur,14524227,galih91@hotmail.com,(0858) 416-2065,2016-06-25,Kontrak,dr. Mala Damanik
EMP2047,Dt. Wage Zulaika,1159179949128919,1992-06-06,"Jl. Antapani Lama No. 2, Kendari, SB 48070",Keuangan,Manager,16344096,pradiptaokta@pd.mil.id,+62 (361) 876-9074,2018-06-17,Kontrak,Ir. Liman Irawan
EMP2048,Wulan Pradana,1361307393086918,1987-10-26,"Gang Cihampelas No. 67, Bukittinggi, JK 81685",Pemasaran,Supervisor,11328141,kpermadi@yahoo.com,+62 (954) 281-3985,2020-03-31,Magang,"Hj. Olivia Mulyani, S.IP"
EMP2049,Jaswadi Adriansyah,8717899471982946,1982-11-15,"Jalan Waringin No. 91, Samarinda, JB 26093",Pemasaran,Manager,22485139,adinatarajata@ud.int,0836221148,2017-02-27,Kontrak,"Pandu Sirait, S.T."
EMP2050,Sutan Alambana Yulianti,5605994175196666,1989-04-24,"Jalan Ciwastra No. 2, Kota Administrasi Jakarta Selatan, Kalimantan Barat 23713",Keuangan,Manager,9134207,lsuartini@pd.desa.id,+62-428-985-5242,2017-06-03,Kontrak,"Almira Wahyuni, S.Kom"
EMP2051,Among Firmansyah,7161333954449061,1988-04-27,"Gg. Rungkut Industri No. 94, Sawahlunto, Lampung 20884",IT,Manager,12516999,owidodo@cv.net.id,(088) 966-5843,2020-12-08,Magang,"Zalindra Gunarto, M.Kom."
EMP2052,dr. Kuncara Saragih,9806303808365295,1982-05-16,"Gang Pasteur No. 0, Subulussalam, Jambi 55965",HRD,Direktur,13405634,argono65@yahoo.com,+62 (062) 565-3511,2018-02-01,Kontrak,"dr. Puji Permadi, S.E.I"
EMP2053,Lanang Permata,6546354029277995,1987-06-25,"Gg. KH Amin Jasuta No. 482, Sabang, Kepulauan Bangka Belitung 63257",Produksi,Direktur,9853584,natsirjasmin@hotmail.com,(020) 295-4124,2017-11-10,Magang,R.M. Bakidin Hutapea
EMP2054,"drg. Purwadi Suwarno, M.Farm",1323569725043876,2005-07-09,"Jl. Lembong No. 40, Tangerang, Kepulauan Riau 72752",HRD,Manager,18488191,luhungwidiastuti@hotmail.com,+62-0707-234-9164,2018-09-23,Kontrak,Bagya Wulandari
EMP2055,Cemplunk Suryono,8432400702761510,1987-04-17,"Jl. Ir. H. Djuanda No. 05, Tegal, Papua Barat 82565",HRD,Direktur,18936751,rdongoran@perum.ponpes.id,(0396) 283 4466,2019-09-22,Magang,"Drs. Gilda Wijaya, M.Kom."
EMP2056,Ikin Wibowo,2406118842392247,1966-03-06,"Gg. Stasiun Wonokromo No. 36, Batam, LA 77980",IT,Staff,8301754,arsipatra72@yahoo.com,+62 (0192) 783 0826,2025-02-13,Magang,"H. Labuh Pudjiastuti, S.Ked"
EMP2057,Jagapati Kuswandari,9727763290025631,1997-06-06,"Jl. Lembong No. 573, Batam, ST 95200",HRD,Staff,6269042,kawayakuswandari@pd.id,(0599) 578-6967,2024-10-19,Kontrak,Laila Hartati
EMP2058,"KH. Koko Siregar, S.Psi",9024545565415329,1971-06-28,"Jl. Cihampelas No. 841, Pagaralam, KB 54159",Keuangan,Direktur,19118805,esimanjuntak@cv.gov,081 789 4341,2021-01-26,Kontrak,Pranata Fujiati
EMP2059,"R. Kania Permata, S.Psi",3863894991771153,2002-04-11,"Jl. K.H. Wahid Hasyim No. 485, Kota Administrasi Jakarta Utara, Kepulauan Riau 16032",Keuangan,Direktur,5983509,icha76@hotmail.com,+62 (375) 563 9740,2019-07-08,Kontrak,"Prayitna Ramadan, M.Pd"
